Name,Colour,DiffPath,GlossPath,TransPath,AlphaPath,BumpPath
BVN_Stone_Sandstone_Brown_100,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_sandstone-brown_100_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_sandstone-brown_100_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_sandstone-brown_100_2000_b.jpg
BVN_Stone_Sandstone_Grey_150,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_sandstone-grey_150_3000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_sandstone-grey_150_3000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_sandstone-grey_150_3000_b.jpg
BVN_Stone_Travertine_Alabastrino_600x1200,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-alabastrino_600x1200_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-alabastrino_600x1200_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-alabastrino_600x1200_2400_b.jpg
BVN_Stone_Travertine_Barcelona_600x1200,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-barcelona_600x1200_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-barcelona_600x1200_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-barcelona_600x1200_2400_b.jpg
BVN_Stone_Travertine_Persian_600x1200,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-persian_600x1200_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-persian_600x1200_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-persian_600x1200_2400_b.jpg
BVN_Stone_Travertine_Striata_450x900,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-striata_450x900_3600_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-striata_450x900_3600_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_travertine-striata_450x900_3600_b.jpg
BVN_Stone_Wall,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_wall_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_wall_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_wall_2000_b.jpg
BVN_Stone_Wall Chatham,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_wall-chatham_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_wall-chatham_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_wall-chatham_2000_b.jpg
BVN_Stone_Wall Mossy,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_wall-mossy_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_wall-mossy_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Stone\stone_wall-mossy_2000_b.jpg
BVN_Wall_Acoustic Pinboard,80/80/80,,,,,
BVN_Water,,,,,,
BVN_Whiteboard,255/255/255,,,,,
BVN_Wood_Acajou_Planks 100,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_acajou_planks_100_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_acajou_planks_100_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_acajou_planks_100_2400_b.jpg
BVN_Wood_Ash_Chevron,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_ash_chevron_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_ash_chevron_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_ash_chevron_2000_b.jpg
